lat,lon,coverage_traffic_gain
14.090336,100.60791699999999,8336532.870350374
13.692386500000001,100.591698,7954709.410157744
13.745896000000002,100.511067,7503566.481665562
13.772875499999998,100.51153,6999913.170463563
13.728808999999998,100.523579,6910920.730811375
13.771975999999999,100.646379,6688896.17867402
13.64742,100.7895695,6516314.863400744
13.5970585,100.7024505,6255084.135514915
13.575474500000002,100.791423,5509413.637442326
13.785466,100.632477,5297423.470275647
13.745896000000002,100.539798,5232876.703310231
13.534106000000001,100.634331,5069583.784104824
13.7661305,100.525432,4982005.190132046
13.764782,100.619966,4953051.714632247
13.627634999999998,100.755741,4884101.572269066
13.761184499999999,100.724694,4878758.531435143
13.562434499999998,100.82154399999999,4378165.423907354
13.777372,100.6232095,4345938.921289359
13.693285499999998,100.638038,4169474.2902784008
13.848868,100.57084499999999,4117574.657972378
13.756688,100.52960300000001,4106421.382493937
13.671251999999999,100.68067099999999,4068469.499665485
13.822788,100.517091,4030758.245611081
13.909123000000001,100.615332,3982754.2496057427
14.048517499999999,100.612088,3761959.087528875
13.718017,100.7826185,3677056.178211887
13.692386500000001,100.750644,3566650.148183858
13.764782,100.544432,2978062.0288898074
13.801203999999998,100.73210800000001,2760720.7262396635
